,CDSCode,Zip,median_income,mean_income,County,Distrinct,School Name,District Type,School Type,Low Grade,High Grade,Enrollment (K-12),Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),FRPM Count (K-12),Percent (%) Eligible FRPM (K-12),AvgScrRead,AvgScrMath,AvgScrWrite,FreeLunch,ReducedLunch,FullLunch
10,01611500132225,94546.0,75500,91969,Alameda,,Castro Valley High,Unified School District,High Schools (Public),9,12,2977.0,2977.0,382.0,0.128317097749412,508.0,0.170641585488747,527.0,556.0,524.0,0.128317097749412,0.042324487739335004,0.829358414511253
11,01611680132746,94608.0,55959,76138,Alameda,,Emery Secondary,Unified School District,High Schools (Public),9,12,191.0,191.0,113.0,0.591623036649215,130.0,0.680628272251309,420.0,433.0,441.0,0.591623036649215,0.08900523560209395,0.31937172774869105
12,01611760130062,94536.0,92107,109679,Alameda,,American High,Unified School District,High Schools (Public),9,12,1985.0,1985.0,303.0,0.15264483627204,368.0,0.185390428211587,573.0,608.0,592.0,0.15264483627204,0.032745591939546986,0.814609571788413
13,01611760138693,94536.0,92107,109679,Alameda,,Washington High,Unified School District,High Schools (Public),9,12,1833.0,1833.0,318.0,0.173486088379705,388.0,0.211674849972722,546.0,587.0,549.0,0.173486088379705,0.03818876159301701,0.788325150027278
14,01611760134270,94538.0,87652,101927,Alameda,,Irvington High,Unified School District,High Schools (Public),9,12,2248.0,2248.0,221.0,0.0983096085409253,288.0,0.128113879003559,590.0,634.0,606.0,0.0983096085409253,0.029804270462633703,0.871886120996441
15,01611760134452,94538.0,87652,101927,Alameda,,John F. Kennedy High,Unified School District,High Schools (Public),9,12,1436.0,1436.0,362.0,0.252089136490251,452.0,0.314763231197772,485.0,509.0,485.0,0.252089136490251,0.062674094707521,0.6852367688022281
16,01611760135244,94539.0,144152,162830,Alameda,,Mission San Jose High,Unified School District,High Schools (Public),9,12,2129.0,2129.0,60.0,0.0281822451855331,72.0,0.0338186942226397,653.0,699.0,671.0,0.0281822451855331,0.005636449037106601,0.9661813057773603
17,01611920108670,94545.0,71723,89818,Alameda,,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),9,12,507.0,507.0,241.0,0.47534516765286,331.0,0.652859960552268,439.0,490.0,443.0,0.47534516765286,0.17751479289940802,0.347140039447732
18,01611920113902,94545.0,71723,89818,Alameda,,Impact Academy of Arts & Technology,Unified School District,High Schools (Public),9,12,468.0,468.0,253.0,0.540598290598291,337.0,0.72008547008547,435.0,451.0,444.0,0.540598290598291,0.17948717948717896,0.27991452991453003
19,01611920135319,94545.0,71723,89818,Alameda,,Mt. Eden High,Unified School District,High Schools (Public),9,12,1935.0,1935.0,1100.0,0.568475452196382,1337.0,0.690956072351421,451.0,471.0,449.0,0.568475452196382,0.12248062015503902,0.309043927648579
