Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School (Y/N),Charter School Number,Charter Funding Type,IRC,Low Grade,High Grade,Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),FRPM Count (K-12),Percent (%) Eligible FRPM (K-12),Enrollment (Ages 5-17),Free Meal Count (Ages 5-17),Percent (%) Eligible Free (Ages 5-17),FRPM Count (Ages 5-17),Percent (%) Eligible FRPM (Ages 5-17),2013-14 CALPADS Fall 1 Certification Status
2014-2015,01,10017,0109835,Alameda,Alameda County Office of Education,FAME Public Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,,1,0728,Directly funded,1,K,12,1087.0,565.0,0.519779208831647,715.0,0.657773689052438,1070.0,553.0,0.516822429906542,702.0,0.65607476635514,1
2014-2015,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,1,0811,Directly funded,1,9,12,395.0,186.0,0.470886075949367,186.0,0.470886075949367,376.0,182.0,0.484042553191489,182.0,0.484042553191489,1
2014-2015,01,10017,0118489,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,County Office of Education (COE),High Schools (Public),Traditional,,1,1049,Directly funded,1,9,12,244.0,134.0,0.549180327868853,175.0,0.717213114754098,230.0,128.0,0.556521739130435,168.0,0.730434782608696,1
2014-2015,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Breakfast Provision 2,1,1284,Directly funded,1,K,8,191.0,113.0,0.591623036649215,139.0,0.727748691099476,190.0,113.0,0.594736842105263,139.0,0.731578947368421,1
2014-2015,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,1,1296,Directly funded,1,K,8,257.0,14.0,0.0544747081712062,21.0,0.0817120622568093,257.0,14.0,0.0544747081712062,21.0,0.0817120622568093,1
2014-2015,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,1,1383,Directly funded,1,K,8,279.0,81.0,0.290322580645161,101.0,0.362007168458781,273.0,78.0,0.285714285714286,98.0,0.358974358974359,1
2014-2015,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,0,,,0,K,12,181.0,71.0,0.392265193370166,73.0,0.403314917127072,160.0,66.0,0.4125,68.0,0.425,1
2014-2015,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,0,,,0,K,12,277.0,190.0,0.685920577617329,223.0,0.805054151624549,221.0,145.0,0.656108597285068,172.0,0.778280542986425,1
2014-2015,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,1,0740,Directly funded,1,K,5,597.0,493.0,0.825795644891122,557.0,0.932998324958124,586.0,483.0,0.824232081911263,546.0,0.931740614334471,1
2014-2015,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2,1,1464,Directly funded,1,K,8,437.0,336.0,0.768878718535469,400.0,0.91533180778032,437.0,336.0,0.768878718535469,400.0,0.91533180778032,1
