Zip,median_income,mean_income
92346,59995,77813
92347,69702,71221
92352,72479,89850
92354,63871,85339
92356,33582,45309
92358,71000,69412
92359,53807,66186
92363,32710,45326
92364,102500,101194
92365,55169,54651
92368,33125,47849
92371,50744,60390
92372,43036,68707
92373,63948,93601
92374,66590,81166
92376,44965,54262
92377,80130,90306
92378,68636,58080
92382,66875,70770
92384,80729,66518
92385,100380,93938
92386,34783,42707
92389,12000,20747
92391,37150,54322
92392,56277,63840
92394,51500,57268
92395,38709,51734
92397,54000,69681
92398,63750,71781
92399,59302,76103
92401,16649,24379
92404,38767,49951
92405,37591,46496
92407,51702,63939
92408,33750,49345
92410,27120,36115
92411,32747,42654
92501,48610,58229
92503,55051,69740
92504,57052,70597
92505,55947,66310
92506,78116,102260
92507,41051,52677
92508,92684,110233
92509,57286,69071
92518,68261,84260
92530,49552,63273
92532,87361,92861
92536,44010,54429
92539,38853,48577
92543,27163,35876
92544,42084,58509
92545,40119,54090
92548,39464,49932
92549,60625,67987
92551,50449,62845
92553,42984,52000
92555,73352,83012
92557,60655,72388
92561,78630,84769
92562,75448,95175
92563,77105,86172
92567,55069,66017
92570,42698,54440
92571,51116,57277
92582,58262,68875
92583,39528,49962
92584,75928,85523
92585,63413,71789
92586,36394,47335
92587,68620,81969
92590,49423,96793
92591,70380,83076
92592,89541,99184
92595,61525,73887
92596,85914,94796
92602,104149,137199
92603,120686,172636
92604,91180,111720
92606,90228,117358
92610,120984,136521
92612,67039,89633
92614,95984,110865
92617,41536,74019
92618,97470,111625
92620,102160,123029
92624,71469,107955
92625,125735,204456
92626,80132,98905
92627,57708,79361
92629,88384,120701
92630,84785,102608
92637,36737,52916
92646,87110,107632
92647,74637,89029
92648,85857,125615
92649,86469,118345
92651,98697,160610
92653,92806,130842
92655,45568,58360
92656,101292,118220
92657,163486,249006
92660,112008,176409
92661,93099,171679
92662,82857,152784
92663,86967,127185
92672,75411,106293
92673,125629,155511
92675,72465,112733
92676,84750,120995
92677,98264,132737
92678,84250,115284
92679,149538,188265
92683,53559,72525
92688,100694,114735
92691,93713,109084
92692,102045,119235
92694,137122,169646
92701,39060,49852
92703,50047,65306
92704,59412,71098
92705,82675,125497
92706,58500,78309
92707,57038,71601
92708,82005,99420
92780,64089,79919
92782,102755,122153
92801,47672,62069
92802,51365,64771
92804,52408,66065
92805,54422,67385
92806,62828,78955
92807,94697,115405
92808,110964,142298
92821,80163,95676
92823,124712,127387
92831,57333,75727
92832,58853,71959
92833,67019,87206
92835,92397,128030
92840,61934,76058
92841,53059,69673
92843,52536,66755
92844,48345,60459
92845,89026,101217
92860,85361,101390
92861,150864,196344
92865,85251,94307
92866,62589,74168
92867,78072,105800
92868,63610,77303
92869,88160,113816
92870,80037,95731
92879,62677,72998
92880,101303,111159
92881,94196,113924
92882,71793,85393
92883,93917,108660
92886,110054,138016
92887,126984,155487
93001,54945,75572
93003,69616,85119
93004,76027,90942
93010,86505,106016
93012,93523,117269
93013,68884,90007
93015,56567,68988
93021,99537,119731
93022,73433,91271
